Name	Cluster	desc	GID	PID1	PID2	PID3	H_Count	H_pos	H_Count_Disorder	H_pc_Disorder	G_Count	G_pos	G_Count_Disorder	G_pc_Disorder	D_Count	D_pos	D_Count_Disorder	D_pc_Disorder	GO
BOK	NA	BCL2-related ovarian killer [Source:HGNC Symbol;Acc:HGNC:1087]	ENSG00000176720	ENSP00000314132	ENSGALP00000009257	ENSDARP00000123964	4	4,5,80,157	0	0	3	4,5,158	0	0	3	7,8,169	0	0	GO:0007420,GO:0005737,GO:0016021,GO:0005634,GO:0042981,GO:0097192,GO:0005739,GO:0046983,GO:0043065,GO:0051400,GO:0006919,GO:0046982,GO:0000139,GO:0048709,GO:0031966,GO:1900119,GO:0006915,GO:0005515,GO:0005741,GO:0042803,GO:0005789,GO:0008283,GO:0051402,GO:0072332,GO:0008584,GO:0008630
KPNA5	NA	karyopherin alpha 5 (importin alpha 6) [Source:HGNC Symbol;Acc:HGNC:6398]	ENSG00000196911	ENSP00000357552	ENSGALP00000024047	ENSDARP00000092803	2	225,351	0	0	2	225,351	0	0	2	225,351	0	0	GO:0006606,GO:0005515,GO:0019221,GO:0005654,GO:0006607,GO:0005737,GO:0005634,GO:0005488,GO:0005829,GO:0008565
PLB1	NA	phospholipase B1 [Source:HGNC Symbol;Acc:HGNC:30041]	ENSG00000163803	ENSP00000330442	ENSGALP00000016277	ENSDARP00000126471	2	27,28	37	36	4	1200,1338,1417,1472	23	6	2	824,855	6	4	GO:0044281,GO:0016298,GO:0004623,GO:0046474,GO:0016324,GO:0016021,GO:0001523,GO:0008152,GO:0006644,GO:0007603,GO:0005886,GO:0016788,GO:0006629,GO:0016042,GO:0004622,GO:0036151
HRH1	NA	histamine receptor H1 [Source:HGNC Symbol;Acc:HGNC:5182]	ENSG00000196639	ENSP00000380247	ENSGALP00000007873	ENSDARP00000068772	3	18,91,142	0	0	3	2,129,260	70	19	5	166,278,334,356,445	37	9	GO:0007186,GO:0005654,GO:0050804,GO:0004969,GO:0048016,GO:0019229,GO:0048245,GO:0005886,GO:0045907,GO:0007613,GO:0032962,GO:0005887,GO:0008542,GO:0043114,GO:0007200,GO:0051381,GO:0071420,GO:0006954,GO:0004930,GO:0048167,GO:0007606,GO:0005737,GO:0016021
LPGAT1	NA	lysophosphatidylglycerol acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:28985]	ENSG00000123684	ENSP00000355964	ENSGALP00000015992	ENSDARP00000115456	2	191,275	8	4	2	116,191	6	3	3	20,116,191	15	5	GO:0044281,GO:0003674,GO:0046474,GO:0016746,GO:0005737,GO:0016021,GO:0016020,GO:0008152,GO:0006644,GO:0005789,GO:0008150,GO:0036148
SHROOM3	11	shroom family member 3 [Source:HGNC Symbol;Acc:HGNC:30422]	ENSG00000138771	ENSP00000296043	ENSGALP00000018701	ENSDARP00000139006	6	1418,1483,1515,1567,1575,1692	346	92	10	885,921,933,949,975,1004,1061,1092,1149,1174	298	76	8	548,587,647,736,741,785,811,842	395	100	GO:0045176,GO:0045177,GO:0043482,GO:0051015,GO:0001843,GO:0003779,GO:0030036,GO:0016324,GO:0005737,GO:0043296,GO:0008360,GO:0005856,GO:0007389,GO:0005874,GO:0000902,GO:0005912,GO:0005515,GO:0002066
SLC36A4	NA	solute carrier family 36 (proton/amino acid symporter), member 4 [Source:HGNC Symbol;Acc:HGNC:19660]	ENSG00000180773	ENSP00000317382	ENSGALP00000027789	ENSDARP00000128190	4	121,122,203,333	0	0	6	111,112,135,193,287,323	0	0	2	128,321	0	0	GO:0015824,GO:0015293,GO:0015180,GO:0015808,GO:0035524,GO:0015827,GO:0003333,GO:0005774,GO:0015171,GO:0015193,GO:0015196,GO:0016021
CDK17	NA	cyclin-dependent kinase 17 [Source:HGNC Symbol;Acc:HGNC:8750]	ENSG00000059758	ENSP00000261211	ENSGALP00000018656	ENSDARP00000093844	4	6,134,143,177	132	48	4	6,134,143,177	132	48	4	9,137,146,180	131	48	GO:0051726,GO:0005524,GO:0005515,GO:0016772,GO:0004693,GO:0004672,GO:0006468
WDR37	NA	WD repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:31406]	ENSG00000047056	ENSP00000350954	ENSGALP00000010894	ENSDARP00000099166	4	54,126,137,342	93	23	4	54,126,137,343	99	25	4	126,137,342,412	59	15	GO:0005515
TBCE	NA	tubulin folding cofactor E [Source:HGNC Symbol;Acc:HGNC:11582]	ENSG00000116957	ENSP00000439170	ENSGALP00000022566	ENSDARP00000132970	2	248,352	0	0	4	108,116,192,206	1	0	8	16,70,98,115,141,182,293,294	26	6	GO:0005515,GO:0048589,GO:0006457,GO:0014889,GO:0008344,GO:0006412,GO:0005874,GO:0044267,GO:0005622,GO:0003735,GO:0048936,GO:0051084,GO:0009791,GO:0005737,GO:0051087,GO:0007023,GO:0000226,GO:0007409,GO:0005840
POU1F1	8	POU class 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9210]	ENSG00000064835	ENSP00000342931	ENSGALP00000036048	ENSDARP00000076317	4	242,243,263,298	15	9	4	287,288,308,343	14	8	4	278,279,299,334	14	8	GO:0001708,GO:0003714,GO:0005737,GO:0060126,GO:0001077,GO:0003700,GO:0005634,GO:0051169,GO:0008285,GO:0043567,GO:0003682,GO:0000122,GO:0008284,GO:0001102,GO:0021983,GO:0043565,GO:0006366,GO:0008340,GO:0045893,GO:0005515,GO:0032962,GO:0000978,GO:0008134,GO:0001105,GO:0021984,GO:0006355,GO:0005654,GO:0045944,GO:0003677,GO:0040018,GO:0060133,GO:0006351,GO:0030183
NR2C1	NA	nuclear receptor subfamily 2, group C, member 1 [Source:HGNC Symbol;Acc:HGNC:7971]	ENSG00000120798	ENSP00000333275	ENSGALP00000018458	ENSDARP00000131714	2	137,376	44	12	2	97,335	58	17	3	137,226,230	33	17	GO:0045892,GO:0010467,GO:0006355,GO:0043401,GO:0000978,GO:0048386,GO:0005515,GO:0016605,GO:0003677,GO:0005654,GO:0042803,GO:0003707,GO:0006351,GO:0042826,GO:0006367,GO:0005634,GO:0001078,GO:0003700,GO:0008270,GO:0043565,GO:0000122,GO:0004872
PTPRO	NA	protein tyrosine phosphatase, receptor type, O [Source:HGNC Symbol;Acc:HGNC:9678]	ENSG00000151490	ENSP00000281171	ENSGALP00000036664	ENSDARP00000133776	3	201,331,394	61	20	3	251,382,445	79	26	8	691,697,708,815,889,925,944,949	1	0	GO:0035335,GO:0016328,GO:0007411,GO:0004725,GO:0016311,GO:0030032,GO:0005887,GO:0005515,GO:0005886,GO:0017147,GO:0016791,GO:0010977,GO:0010812,GO:0002548,GO:0042803,GO:0030027,GO:0090260,GO:0003105,GO:0000902,GO:0090090,GO:0072112,GO:0070062,GO:0003093,GO:0030424,GO:0032835,GO:0006470,GO:0005001,GO:0016324,GO:0043005,GO:0016021,GO:0043197,GO:0030426,GO:0036060
NSRP1	NA	nuclear speckle splicing regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:25305]	ENSG00000126653	ENSP00000247026	ENSGALP00000006641	ENSDARP00000013430	3	24,198,252	220	67	8	197,236,265,274,441,452,480,481	350	91	4	204,245,345,482	362	95	GO:0044822,GO:0005634,GO:0008380,GO:0006397,GO:0030529,GO:0003729,GO:0000381,GO:0016607,GO:0005515,GO:0006913,GO:0032502
PREP	NA	prolyl endopeptidase [Source:HGNC Symbol;Acc:HGNC:9358]	ENSG00000085377	ENSP00000358106	ENSGALP00000024803	ENSDARP00000134720	3	546,587,683	0	0	3	546,587,683	0	0	3	547,588,684	1	0	GO:0005737,GO:0005634,GO:0070008,GO:0005515,GO:0016020,GO:0006508,GO:0004252,GO:0008236
ASUN	NA	asunder spermatogenesis regulator [Source:HGNC Symbol;Acc:HGNC:20174]	ENSG00000064102	ENSP00000261191	ENSGALP00000022761	ENSDARP00000134557	3	310,344,482	37	13	2	310,344	28	20	5	143,267,319,353,401	41	11	GO:0005515,GO:0007067,GO:0090435,GO:0080154,GO:0051301,GO:0007052,GO:0005737,GO:0005634,GO:0051642,GO:0030317,GO:0007346
CISD2	NA	CDGSH iron sulfur domain 2 [Source:HGNC Symbol;Acc:HGNC:24212]	ENSG00000145354	ENSP00000273986	ENSGALP00000043162	ENSDARP00000069092	2	31,66	1	0	2	31,66	0	0	3	31,66,131	0	0	GO:0046872,GO:0005515,GO:0005741,GO:0016020,GO:0010506,GO:0010259,GO:0005789,GO:0042803,GO:0043234,GO:0016021,GO:0044822,GO:0043231,GO:0005783,GO:0051537,GO:0000422
POLR2B	2	polymerase (RNA) II (DNA directed) polypeptide B, 140kDa [Source:HGNC Symbol;Acc:HGNC:9188]	ENSG00000047315	ENSP00000370625	ENSGALP00000037170	ENSDARP00000142035	5	229,247,301,444,471	1	0	5	229,247,301,444,471	1	0	5	229,247,301,444,471	1	0	GO:0010467,GO:0001055,GO:0006281,GO:0046872,GO:0005515,GO:0016020,GO:0006283,GO:0032549,GO:0003677,GO:0005654,GO:0006351,GO:0016032,GO:0006289,GO:0006367,GO:0005665,GO:0034587,GO:0035019,GO:0044822,GO:0005634,GO:0000398,GO:0008380,GO:0006370,GO:0003899,GO:0003682,GO:0050434,GO:0006368,GO:0006366
NCL	NA	nucleolin [Source:HGNC Symbol;Acc:HGNC:7667]	ENSG00000115053	ENSP00000318195	ENSGALP00000032625	ENSDARP00000013803	4	476,507,588,638	139	53	3	357,482,569	122	39	2	570,620	127	84	GO:0005634,GO:0043236,GO:0008022,GO:0000166,GO:0005730,GO:0005737,GO:0005938,GO:0036464,GO:0044822,GO:0007283,GO:2000232,GO:0001525,GO:0042162,GO:0043565,GO:1990631,GO:2000778,GO:0001651,GO:0030529,GO:0032760,GO:0009986,GO:0016020,GO:0042393,GO:0071222,GO:0042134,GO:0005515,GO:0035368,GO:0003723,GO:0001650,GO:1901838,GO:0042802,GO:0005509,GO:0006897,GO:0070062,GO:0003697,GO:0003676,GO:0005102,GO:0045944,GO:0005654,GO:0097421,GO:0043066
RELN	5	reelin [Source:HGNC Symbol;Acc:HGNC:9957]	ENSG00000189056	ENSP00000392423	ENSGALP00000013329	ENSDARP00000133403	3	2159,2358,2439	0	0	4	2161,2286,2360,2441	0	0	4	349,460,494,592	0	0	GO:0021987,GO:0051057,GO:0030425,GO:0007612,GO:0090129,GO:0048265,GO:0061098,GO:0050731,GO:0014068,GO:0000904,GO:0008306,GO:0050795,GO:0060291,GO:0097114,GO:0005615,GO:0005737,GO:0001764,GO:0007417,GO:2000310,GO:0005578,GO:0007616,GO:2000463,GO:1900273,GO:0032793,GO:0018108,GO:0004712,GO:0007420,GO:0070325,GO:0007155,GO:0097120,GO:0016358,GO:0051968,GO:0050804,GO:0016477,GO:0021511,GO:0010468,GO:1902078,GO:0008236,GO:0021517,GO:2000969,GO:0010976,GO:0038026,GO:0035418,GO:0005515,GO:0021819,GO:0046872,GO:0097119,GO:0070326,GO:0045860,GO:0007411,GO:0010001,GO:0061003,GO:0030900,GO:0021800,GO:0032008,GO:0021766,GO:0006508,GO:0097477
GSC	NA	goosecoid homeobox [Source:HGNC Symbol;Acc:HGNC:4612]	ENSG00000133937	ENSP00000238558	ENSGALP00000017857	ENSDARP00000076522	4	18,218,219,233	61	19	3	18,209,210	53	18	4	18,204,205,222	45	14	GO:0005515,GO:0009653,GO:0006355,GO:0043583,GO:0030900,GO:0042474,GO:0023019,GO:0005667,GO:0030178,GO:0001085,GO:0003677,GO:0014036,GO:0048644,GO:0005634,GO:0021904,GO:0048704,GO:0001103,GO:0007369,GO:0043565,GO:0000122
SLC12A8	4	solute carrier family 12, member 8 [Source:HGNC Symbol;Acc:HGNC:15595]	ENSG00000221955	ENSP00000377112	ENSGALP00000019644	ENSDARP00000103432	5	303,497,536,582,583	60	15	3	2,6,112	1	0	4	217,300,418,422	17	5	GO:0016020,GO:0006810,GO:0015293,GO:0006813,GO:0055085,GO:0016021
SOS2	NA	son of sevenless homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:11188]	ENSG00000100485	ENSP00000216373	ENSGALP00000020023	ENSDARP00000079754	4	823,1026,1027,1064	74	21	3	860,996,1153	276	70	3	823,1026,1064	105	30	GO:0005089,GO:0003677,GO:0097190,GO:0042129,GO:0002260,GO:0046982,GO:0005085,GO:0005515,GO:0007411,GO:0001782,GO:2000973,GO:0035023,GO:0043065,GO:0005829,GO:0048011,GO:0051056,GO:0051057,GO:0007264,GO:0043547,GO:0005088,GO:0033081
TENM1	NA	teneurin transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:8117]	ENSG00000009694	ENSP00000403954	ENSGALP00000038367	ENSDARP00000040183	5	773,868,947,962,1002	0	0	4	42,198,277,297	242	68	5	1680,1762,1783,1910,1942	9	2	GO:0090316,GO:0043406,GO:0006955,GO:0005794,GO:0005634,GO:0005737,GO:0016021,GO:0007165,GO:0033138,GO:0030838,GO:0008285,GO:0006359,GO:0007218,GO:0005783,GO:0046982,GO:0005576,GO:0005886,GO:0008201,GO:0007399,GO:0016607,GO:0048471,GO:0005887,GO:0005515,GO:0005856,GO:0042803,GO:0051491,GO:0016363,GO:0006351
TMEM27	NA	transmembrane protein 27 [Source:HGNC Symbol;Acc:HGNC:29437]	ENSG00000147003	ENSP00000369699	ENSGALP00000042770	ENSDARP00000061036	2	27,79	0	0	8	30,62,66,82,94,130,177,221	18	6	3	41,64,93	2	1	GO:0031526,GO:0051957,GO:0005737,GO:0016021,GO:0035543,GO:0045956,GO:0035774,GO:0070062,GO:0008241,GO:0008237,GO:0005515,GO:0006508
UBR5	11	ubiquitin protein ligase E3 component n-recognin 5 [Source:HGNC Symbol;Acc:HGNC:16806]	ENSG00000104517	ENSP00000429084	ENSGALP00000025803	ENSDARP00000122396	7	130,145,283,284,310,331,412	143	37	7	79,119,134,272,273,299,320	142	41	8	68,90,130,172,310,311,337,358	187	47	GO:0033160,GO:2000780,GO:0005737,GO:0005634,GO:0006511,GO:0008270,GO:0000209,GO:0035413,GO:0003723,GO:0042787,GO:1901315,GO:0005515,GO:0006281,GO:0043130,GO:0016020,GO:0090263,GO:0050847,GO:0006974,GO:0008283,GO:0005654,GO:0016874,GO:0034450,GO:0004842
FLAD1	NA	flavin adenine dinucleotide synthetase 1 [Source:HGNC Symbol;Acc:HGNC:24671]	ENSG00000160688	ENSP00000292180	ENSGALP00000043315	ENSDARP00000137958	3	147,218,323	8	2	5	67,88,231,248,317	1	0	4	19,54,86,169	8	3	GO:0005886,GO:0003919,GO:0005515,GO:0008152,GO:0005524,GO:0003824,GO:0006766,GO:0006767,GO:0005737,GO:0005759,GO:0044281,GO:0006747,GO:0006771,GO:0005829
GMIP	NA	GEM interacting protein [Source:HGNC Symbol;Acc:HGNC:24852]	ENSG00000089639	ENSP00000203556	ENSGALP00000041554	ENSDARP00000131373	4	308,450,483,569	142	39	4	809,894,901,936	208	91	6	811,821,887,888,914,988	252	90	GO:0007264,GO:0035556,GO:0043547,GO:0002230,GO:0005829,GO:0007165,GO:0051056,GO:0098779,GO:0005622,GO:0046872,GO:0005515,GO:0034260,GO:0005096
CPD	NA	carboxypeptidase D [Source:HGNC Symbol;Acc:HGNC:2301]	ENSG00000108582	ENSP00000225719	ENSGALP00000006827	ENSDARP00000072498	4	781,840,871,920	29	12	3	1095,1180,1335	61	17	3	411,426,485	50	28	GO:0070062,GO:0006508,GO:0004181,GO:0016020,GO:0008270,GO:0016021,GO:0004185
L3MBTL3	NA	l(3)mbt-like 3 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:23035]	ENSG00000198945	ENSP00000431962	ENSGALP00000022655	ENSDARP00000127490	3	432,667,706	108	28	5	430,589,648,655,727	83	20	2	48,140	96	50	GO:0030851,GO:0016568,GO:0043249,GO:0003674,GO:0005634,GO:0030225,GO:0006355,GO:0005515,GO:0030099,GO:0006351
FTSJ3	NA	FtsJ homolog 3 (E. coli) [Source:HGNC Symbol;Acc:HGNC:17136]	ENSG00000108592	ENSP00000396673	ENSGALP00000039839	ENSDARP00000136961	2	250,531	227	59	5	528,677,707,804,808	278	73	4	250,463,495,525	228	60	GO:0044822,GO:0000453,GO:0005634,GO:0005730,GO:0006364,GO:0032259,GO:0005515,GO:0030688,GO:0031167,GO:0008649,GO:0008168
SCAPER	10	S-phase cyclin A-associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081]	ENSG00000140386	ENSP00000454973	ENSGALP00000004539	ENSDARP00000094101	8	52,63,71,164,197,276,283,329	265	70	5	90,183,208,216,294	176	57	4	182,423,449,456	305	81	GO:0046872,GO:0005654,GO:0003676,GO:0005737,GO:0005634,GO:0008270,GO:0005783
MSH4	NA	mutS homolog 4 [Source:HGNC Symbol;Acc:HGNC:7327]	ENSG00000057468	ENSP00000263187	ENSGALP00000018559	ENSDARP00000127531	5	424,521,527,655,721	0	0	3	337,376,440	0	0	4	468,519,677,754	0	0	GO:0007126,GO:0006298,GO:0003677,GO:0000795,GO:0005524,GO:0007292,GO:0005515,GO:0051026,GO:0001541,GO:0000228,GO:0007129,GO:0000794,GO:0008094,GO:0007131,GO:0030983,GO:0045143,GO:0007283,GO:0000793,GO:0005634
E2F5	NA	E2F transcription factor 5, p130-binding [Source:HGNC Symbol;Acc:HGNC:3119]	ENSG00000133740	ENSP00000398124	ENSGALP00000030213	ENSDARP00000056678	3	108,230,263	74	29	2	73,182	57	27	2	77,199	46	20	GO:0030030,GO:0009887,GO:0006367,GO:0005737,GO:0005730,GO:0003700,GO:0000278,GO:0005634,GO:0005654,GO:0045944,GO:0003677,GO:0005667,GO:0006351,GO:0010467,GO:0051726,GO:0007179,GO:0005515,GO:0008134,GO:0006355
CRYZ	1	crystallin, zeta (quinone reductase) [Source:HGNC Symbol;Acc:HGNC:2419]	ENSG00000116791	ENSP00000399805	ENSGALP00000018510	ENSDARP00000118753	3	248,256,261	0	0	4	84,121,258,263	2	0	4	60,208,255,260	0	0	GO:0070062,GO:0003960,GO:0016491,GO:0070402,GO:0042178,GO:0051289,GO:0003730,GO:0005829,GO:0008270,GO:0005737,GO:0055114,GO:0005794,GO:0043231,GO:0007601
CENPE	NA	centromere protein E, 312kDa [Source:HGNC Symbol;Acc:HGNC:1856]	ENSG00000138778	ENSP00000265148	ENSGALP00000021544	ENSDARP00000099552	5	1908,1936,2047,2118,2160	80	22	5	995,1098,1206,1241,1259	233	64	8	2328,2343,2435,2488,2511,2515,2592,2607	284	74	GO:0007080,GO:0019886,GO:0000775,GO:0051315,GO:0051301,GO:0005524,GO:0030071,GO:0005515,GO:0008152,GO:0045860,GO:0016020,GO:0000776,GO:0051382,GO:0043515,GO:0005694,GO:0008017,GO:0007018,GO:0005874,GO:0007596,GO:0007059,GO:0007079,GO:0000779,GO:0003777,GO:0007275,GO:0030496,GO:0005737,GO:0015630,GO:0000278,GO:0005634,GO:0016887,GO:0000940,GO:0005829,GO:0007264,GO:0005871,GO:1990023
EEA1	NA	early endosome antigen 1 [Source:HGNC Symbol;Acc:HGNC:3185]	ENSG00000102189	ENSP00000317955	ENSGALP00000018382	ENSDARP00000085782	5	915,964,1012,1054,1083	102	38	5	845,913,962,1081,1135	230	58	5	776,777,834,870,1011	219	65	GO:0042803,GO:0019897,GO:0005516,GO:0006897,GO:0070062,GO:0016189,GO:0006906,GO:0046872,GO:0005515,GO:0016020,GO:0030742,GO:0005545,GO:0031901,GO:0008270,GO:0005829,GO:0044308,GO:0005768,GO:0005769,GO:0005737,GO:0005969,GO:0045022,GO:0031410
GALNT1	NA	polypeptide N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4123]	ENSG00000141429	ENSP00000269195	ENSGALP00000021411	ENSDARP00000116122	2	229,511	11	2	2	229,511	9	2	3	44,114,227	27	9	GO:0004653,GO:0000139,GO:0018243,GO:0018242,GO:0030246,GO:0048471,GO:0016020,GO:0005576,GO:0016266,GO:0008152,GO:0016757,GO:0030145,GO:0044267,GO:0005794,GO:0032580,GO:0016021,GO:0043687,GO:0006493
TNFRSF19	NA	tumor necrosis factor receptor superfamily, member 19 [Source:HGNC Symbol;Acc:HGNC:11915]	ENSG00000127863	ENSP00000371693	ENSGALP00000027605	ENSDARP00000061350	2	165,238	1	0	2	164,237	0	0	2	305,316	42	37	GO:0001942,GO:0016021,GO:0033209,GO:0005622,GO:0005031,GO:0007254,GO:0043123,GO:0006915,GO:0005515
FLII	NA	flightless I actin binding protein [Source:HGNC Symbol;Acc:HGNC:3750]	ENSG00000177731	ENSP00000324573	ENSGALP00000039865	ENSDARP00000128537	2	433,637	65	21	3	636,744,788	2	0	2	432,636	37	12	GO:0006936,GO:0003779,GO:0030036,GO:0007275,GO:0051014,GO:0005737,GO:0005815,GO:0006355,GO:0005515,GO:0005925,GO:0005654,GO:0005903,GO:0006351
RUFY2	NA	RUN and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19761]	ENSG00000204130	ENSP00000373420	ENSGALP00000006348	ENSDARP00000083566	3	32,53,95	5	3	2	18,60	0	0	4	500,546,557,691	91	31	GO:0005634,GO:0046872
XPO7	NA	exportin 7 [Source:HGNC Symbol;Acc:HGNC:14108]	ENSG00000130227	ENSP00000252512	ENSGALP00000002839	ENSDARP00000140559	6	506,631,664,715,735,799	0	0	6	506,631,664,715,735,799	0	0	6	506,631,664,715,735,799	0	0	GO:0005515,GO:0006886,GO:0005622,GO:0008536,GO:0051028,GO:0005737,GO:0005634,GO:0005643,GO:0005488,GO:0006611,GO:0005049
XPNPEP3	NA	X-prolyl aminopeptidase 3, mitochondrial [Source:HGNC Symbol;Acc:HGNC:28052]	ENSG00000196236	ENSP00000349658	ENSGALP00000019563	ENSDARP00000050244	2	29,259	25	7	2	27,257	9	2	3	259,266,351	4	2	GO:0016485,GO:0003094,GO:0008237,GO:0070062,GO:0030145,GO:0004177,GO:0005739
